time,lon,lat,speed,heading,xcourse,ycourse,zcourse,rudder_command,rudder,delta,psi,thrust,-rudder,x0,y0
169.5,119.16189219428017,26.067387188689736,1.0935008605769085,-44.052445460151986,0.8217328998294198,0.22322616716671498,315.76252580242993,70.0,26.729205571341424,-0.46651264366232,-0.7688602168348806,0.0,-26.729205571341424,84.85864088824019,-9.489765983191319
170.0,119.16189115093978,26.067389849060202,1.0462827741822642,-46.14349936374224,0.8933161212613987,0.943923439011612,314.1713386273864,70.0,28.17716456071573,-0.49178429546075114,-0.8053559922892106,0.0,-28.17716456071573,85.1567545295693,-9.585568471404258
170.5,119.16189099999997,26.067389395942307,1.0285925765911041,-46.988175186706464,0.9031487341990717,0.5606518623871368,312.7428341801576,70.0,28.187440832275534,-0.4919636502342989,-0.820098366511929,0.0,-28.187440832275534,85.10694989562035,-9.602168117184192
171.0,119.1618898171298,26.067391365740427,1.0099661505381854,-47.924199597977044,0.8617185960872519,0.15764983477025915,311.7625438999545,70.0,28.10448004556188,-0.4905157113561008,-0.8364350743676422,0.0,-28.10448004556188,85.3288917276077,-9.714203801937401
171.5,119.16188756231108,26.067394437688968,1.0010087445712663,-48.94005982127541,0.8359762676780814,0.870665728768072,311.1957263167509,70.0,28.42024204062393,-0.4960267978225995,-0.8541651800042436,0.0,-28.42024204062393,85.67622650880367,-9.930002146458719
172.0,119.16188602810553,26.067395166891508,1.0036526888289223,-49.54207916167106,0.8821281463174946,0.6324594323176761,310.8903199756447,70.0,28.71114788592259,-0.5011040626363584,-0.8646723996548321,0.0,-28.71114788592259,85.76162492437288,-10.081283832434565
172.5,119.16188299259144,26.06739894184155,1.0018787284254187,-49.64006724066311,0.8744773752054995,0.2700451534490746,310.6426622738929,70.0,28.791444548463495,-0.5025055037760601,-0.8663826142609476,0.0,-28.791444548463495,86.18922733981162,-10.372977983613964
173.0,119.16188100905488,26.06740098048603,1.0044816887104897,-49.403988936261825,0.870368339816672,0.5109393074171721,311.0196092512401,70.0,29.062118631140997,-0.5072296577185978,-0.8622622705566197,0.0,-29.062118631140997,86.42116855783388,-10.564983224088792
173.5,119.16188024384364,26.067401000000007,1.005032468923445,-49.155860873296604,0.8931383066977668,0.47364378569846277,311.52610001190084,70.0,29.19999999999999,-0.5096361415823442,-0.8579316188912809,0.0,-29.19999999999999,86.42559231864288,-10.641562915523537
174.0,119.16187770711974,26.067402692880272,1.013236618562552,-48.3948383662143,0.9015581173737726,-0.14797126680098344,312.302131846876,70.0,29.05675959980324,-0.5071361249770365,-0.8446492704609128,0.0,-29.05675959980324,86.62082217587158,-10.890105864149518
174.5,119.16187573545494,26.0674036345694,1.0279105209854376,-47.3789816052192,0.8638377078647576,0.47082778176881446,313.3920978565614,70.0,29.0,-0.5061454830783556,-0.8269192252529033,0.0,-29.0,86.73107699863613,-11.084508660598658
175.0,119.16187294701292,26.067405999999984,1.0440025862317015,-45.784161642150025,0.9162512473994392,0.48615737191750297,314.7749871976604,70.0,29.32633534313998,-0.5118411092817737,-0.7990843659208118,0.0,-29.32633534313998,87.00163541128859,-11.356064667284954
175.5,119.16187191457225,26.06740618708086,1.0552644293958828,-44.853879967718306,0.9125704743900064,-0.25972396141459686,316.29315452831463,70.0,29.7884705785497,-0.5199068907291523,-0.7828478877310123,0.0,-29.7884705785497,87.02543132612482,-11.45886214793427
176.0,119.16186931083999,26.067408,1.0724430790071895,-43.00457289786958,0.916465541235436,0.10542925680295652,318.1759932967744,70.0,30.704749628987322,-0.535898977026336,-0.7505713904817434,0.0,-30.704749628987322,87.23417128250003,-11.713724142638966
176.5,119.16186698431935,26.06740901568069,1.1021398927709112,-40.79254088363909,0.9677876836442605,0.28816515235485146,320.54210330982085,70.0,31.49619320015994,-0.5497122731870403,-0.7119641486738992,0.0,-31.49619320015994,87.35367961134762,-11.94342732714722
177.0,119.16186662224638,26.067409377753602,1.128427393904569,-38.49439936980191,0.8819893956105673,-0.22582286126219903,322.90879226875745,70.0,32.222841547792676,-0.562394679357408,-0.6718540125806737,0.0,-32.222841547792676,87.3949023783207,-11.978508672735188
